year,Democratic,Republican,Poll_Leading_Margin,Poll_Leader,Republican_Electoral,Democrat_Electoral,Republican_Popular,Democrat_Popular,Total_Popular_Vote (Total votes cast in Presidential Election),Republican_Electoral_pct (out of 270),Democrat_Electoral_pct (out of 270),Republican_Popular_pct (Out of total votes cast in Presidential Election),Democrat_Popular_pct (Out of total votes cast in Presidential Election),Electoral_Leading_Margin (difference between dem and rep electorial pct),Popular_Leading_Margin (difference between dem and rep popular vote pct)
1948,46.0,41.0,5.0,0,189,303,21969170,24105695,46074865,70.0,112.22,47.68,52.32,42.22,4.64
1948,39.0,47.0,8.0,1,189,303,21969170,24105695,46074865,70.0,112.22,47.68,52.32,42.22,4.64
1948,38.0,49.0,11.0,1,189,303,21969170,24105695,46074865,70.0,112.22,47.68,52.32,42.22,4.64
1948,37.0,48.0,11.0,1,189,303,21969170,24105695,46074865,70.0,112.22,47.68,52.32,42.22,4.64
1948,37.0,48.0,11.0,1,189,303,21969170,24105695,46074865,70.0,112.22,47.68,52.32,42.22,4.64
1948,36.0,49.0,13.0,1,189,303,21969170,24105695,46074865,70.0,112.22,47.68,52.32,42.22,4.64
1948,39.0,47.0,8.0,1,189,303,21969170,24105695,46074865,70.0,112.22,47.68,52.32,42.22,4.64
1948,39.0,47.0,8.0,1,189,303,21969170,24105695,46074865,70.0,112.22,47.68,52.32,42.22,4.64
1948,40.0,46.0,6.0,1,189,303,21969170,24105695,46074865,70.0,112.22,47.68,52.32,42.22,4.64
1948,45.0,50.0,5.0,1,189,303,21969170,24105695,46074865,70.0,112.22,47.68,52.32,42.22,4.64
