year,Democratic,Republican,Poll_Leading_Margin,Poll_Leader
2020,50.0,45.0,5.0,0
2020,50.0,46.0,4.0,0
2020,50.0,44.0,6.0,0
2020,51.0,44.0,7.0,0
2020,50.0,44.0,6.0,0
2020,47.0,42.0,5.0,0
2020,48.0,42.0,6.0,0
2020,47.0,43.0,4.0,0
2020,49.0,44.0,5.0,0
2020,48.0,42.0,6.0,0
2020,49.0,42.0,7.0,0
2020,50.0,42.0,8.0,0
2020,51.0,41.0,10.0,0
2020,50.0,40.0,10.0,0
2020,50.0,41.0,9.0,0
2020,49.0,40.0,9.0,0
2020,50.0,41.0,9.0,0
2020,51.0,42.0,9.0,0
2020,49.0,42.0,7.0,0
2020,50.0,42.0,8.0,0
2020,49.0,43.0,6.0,0
2020,50.0,43.0,7.0,0
2020,49.0,43.0,6.0,0
2020,51.0,42.0,9.0,0
2020,52.0,42.0,10.0,0
2020,51.0,43.0,8.0,0
2020,51.0,44.0,7.0,0
