year,Republican,Democratic,Poll_Leading_Margin,Poll_Leader
2000,47.0,41.0,6.0,1
2000,46.0,41.0,5.0,1
2000,50.0,38.0,12.0,1
2000,45.0,43.0,2.0,1
2000,50.0,39.0,11.0,1
2000,54.0,37.0,17.0,1
2000,55.0,39.0,16.0,1
2000,46.0,47.0,1.0,0
2000,46.0,45.0,1.0,1
2000,44.0,47.0,3.0,0
2000,46.0,45.0,1.0,1
2000,42.0,49.0,7.0,0
2000,41.0,49.0,8.0,0
2000,42.0,49.0,7.0,0
2000,41.0,49.0,8.0,0
2000,44.0,48.0,4.0,0
2000,41.0,51.0,10.0,0
2000,42.0,50.0,8.0,0
2000,47.0,44.0,3.0,1
2000,46.0,44.0,2.0,1
2000,46.0,44.0,2.0,1
2000,45.0,45.0,0.0,0
2000,41.0,49.0,8.0,0
2000,40.0,51.0,11.0,0
2000,48.0,41.0,7.0,1
2000,50.0,42.0,8.0,1
2000,45.0,45.0,0.0,0
2000,45.0,45.0,0.0,0
2000,48.0,43.0,5.0,1
2000,47.0,44.0,3.0,1
2000,51.0,40.0,11.0,1
2000,44.0,46.0,2.0,0
2000,49.0,42.0,7.0,1
2000,52.0,39.0,13.0,1
2000,49.0,42.0,7.0,1
2000,47.0,44.0,3.0,1
2000,47.0,43.0,4.0,1
2000,47.0,43.0,4.0,1
2000,48.0,46.0,2.0,1
