year,Republican,Democratic,Poll_Leading_Margin,Poll_Leader,Republican_Electoral,Democrat_Electoral,Republican_Popular,Democrat_Popular,Total_Popular_Vote (Total votes cast in Presidential Election),Republican_Electoral_pct (out of 270),Democrat_Electoral_pct (out of 270),Republican_Popular_pct (Out of total votes cast in Presidential Election),Democrat_Popular_pct (Out of total votes cast in Presidential Election),Electoral_Leading_Margin (difference between dem and rep electorial pct),Popular_Leading_Margin (difference between dem and rep popular vote pct)
1956,61.0,35.0,26.0,1,457,73,35581003,25738765,61319768,169.26,27.04,58.03,41.97,142.22,16.06
1956,63.0,33.0,30.0,1,457,73,35581003,25738765,61319768,169.26,27.04,58.03,41.97,142.22,16.06
1956,61.0,37.0,24.0,1,457,73,35581003,25738765,61319768,169.26,27.04,58.03,41.97,142.22,16.06
1956,62.0,33.0,29.0,1,457,73,35581003,25738765,61319768,169.26,27.04,58.03,41.97,142.22,16.06
1956,62.0,35.0,27.0,1,457,73,35581003,25738765,61319768,169.26,27.04,58.03,41.97,142.22,16.06
1956,62.0,35.0,27.0,1,457,73,35581003,25738765,61319768,169.26,27.04,58.03,41.97,142.22,16.06
1956,61.0,37.0,24.0,1,457,73,35581003,25738765,61319768,169.26,27.04,58.03,41.97,142.22,16.06
1956,52.0,41.0,11.0,1,457,73,35581003,25738765,61319768,169.26,27.04,58.03,41.97,142.22,16.06
1956,52.0,41.0,11.0,1,457,73,35581003,25738765,61319768,169.26,27.04,58.03,41.97,142.22,16.06
1956,52.0,40.0,12.0,1,457,73,35581003,25738765,61319768,169.26,27.04,58.03,41.97,142.22,16.06
1956,51.0,41.0,10.0,1,457,73,35581003,25738765,61319768,169.26,27.04,58.03,41.97,142.22,16.06
1956,59.0,40.0,19.0,1,457,73,35581003,25738765,61319768,169.26,27.04,58.03,41.97,142.22,16.06
