year,Republican,Democratic,Poll_Leading_Margin,Poll_Leader,Republican_Electoral,Democrat_Electoral,Republican_Popular,Democrat_Popular,Total_Popular_Vote (Total votes cast in Presidential Election),Republican_Electoral_pct (out of 270),Democrat_Electoral_pct (out of 270),Republican_Popular_pct (Out of total votes cast in Presidential Election),Democrat_Popular_pct (Out of total votes cast in Presidential Election),Electoral_Leading_Margin (difference between dem and rep electorial pct),Popular_Leading_Margin (difference between dem and rep popular vote pct)
1988,52.0,40.0,12.0,1,426,111,48886597,41809074,90695671,157.78,41.11,53.9,46.1,116.67,7.8
1988,45.0,43.0,2.0,1,426,111,48886597,41809074,90695671,157.78,41.11,53.9,46.1,116.67,7.8
1988,38.0,54.0,16.0,0,426,111,48886597,41809074,90695671,157.78,41.11,53.9,46.1,116.67,7.8
1988,38.0,52.0,14.0,0,426,111,48886597,41809074,90695671,157.78,41.11,53.9,46.1,116.67,7.8
1988,41.0,46.0,5.0,0,426,111,48886597,41809074,90695671,157.78,41.11,53.9,46.1,116.67,7.8
1988,41.0,47.0,6.0,0,426,111,48886597,41809074,90695671,157.78,41.11,53.9,46.1,116.67,7.8
1988,37.0,54.0,17.0,0,426,111,48886597,41809074,90695671,157.78,41.11,53.9,46.1,116.67,7.8
1988,42.0,49.0,7.0,0,426,111,48886597,41809074,90695671,157.78,41.11,53.9,46.1,116.67,7.8
1988,49.0,41.0,8.0,1,426,111,48886597,41809074,90695671,157.78,41.11,53.9,46.1,116.67,7.8
1988,47.0,42.0,5.0,1,426,111,48886597,41809074,90695671,157.78,41.11,53.9,46.1,116.67,7.8
1988,50.0,40.0,10.0,1,426,111,48886597,41809074,90695671,157.78,41.11,53.9,46.1,116.67,7.8
1988,56.0,44.0,12.0,1,426,111,48886597,41809074,90695671,157.78,41.11,53.9,46.1,116.67,7.8
